"name","height","position","legendaryBadgeCount","purpleBadgeCount","goldBadgeCount","silverBadgeCount","bronzeBadgeCount","outsideScoringBadgeCount","insideScoringBadgeCount","generalOffenseBadgeCount","playmakingBadgeCount","defensiveBadgeCount","reboundingBadgeCount","allAroundBadgeCount","badgeCount","team","overallAttribute","closeShot","midRangeShot","threePointShot","freeThrow","shotIQ","offensiveConsistency","layup","standingDunk","drivingDunk","postHook","postFade","postControl","drawFoul","hands","interiorDefense","perimeterDefense","steal","block","helpDefenseIQ","passPerception","defensiveConsistency","speed","agility","strength","vertical","stamina","hustle","overallDurability","passAccuracy","ballHandle","speedWithBall","passIQ","passVision","offensiveRebound","defensiveRebound"
"Drake Powell","6'6"" (198cm)","SG",0,0,0,0,2,1,0,0,0,0,0,1,2,"Brooklyn Nets",74,94,75,81,95,60,50,74,45,85,44,44,44,50,80,54,75,73,42,70,70,65,86,87,54,95,85,90,80,69,70,75,69,65,31,50
"Tyrese Martin","6'6"" (198cm)","SG",0,0,0,2,2,1,2,1,0,0,0,0,4,"Brooklyn Nets",74,65,80,76,73,80,70,70,40,60,56,60,59,59,69,54,66,53,40,60,40,55,70,72,59,70,85,65,80,75,77,63,75,66,52,57
"Chris Boucher","6'9"" (206cm)","C",0,0,0,3,3,0,0,0,0,1,2,1,6,"Boston Celtics",73,90,81,79,78,60,30,74,85,80,72,64,72,50,85,76,37,43,72,78,50,60,57,55,80,74,89,80,77,33,41,25,59,30,67,76
"Baylor Scheierman","6'6"" (198cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",73,73,80,87,85,80,65,71,40,55,30,48,40,44,66,47,56,59,40,57,47,40,86,64,54,54,90,85,80,70,71,75,69,42,53,55
"Hugo Gonzalez","6'6"" (198cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",73,72,76,81,76,70,50,74,45,75,47,48,42,40,70,53,73,44,45,74,70,65,75,75,55,75,88,90,80,62,70,70,62,40,56,53
"Jalen Wilson","6'6"" (198cm)","SF",0,0,0,1,0,0,0,0,0,0,0,0,1,"Brooklyn Nets",73,82,79,79,76,70,50,78,30,75,55,54,55,59,90,35,57,37,30,50,52,40,82,79,30,75,80,84,80,64,68,73,63,41,31,41
"Ben Saraf","6'5"" (196cm)","PG",0,0,0,0,1,0,1,0,0,0,0,0,1,"Brooklyn Nets",73,82,78,69,75,70,60,71,30,60,30,45,48,67,80,40,62,64,37,60,57,45,83,79,52,67,80,70,80,83,76,83,83,81,38,46
"Haywood Highsmith","6'5"" (196cm)","SF",0,0,0,3,4,1,0,0,0,5,0,1,7,"Brooklyn Nets",73,86,70,81,75,70,50,78,35,45,47,54,46,40,70,70,79,59,61,78,77,70,70,81,50,79,80,65,86,55,70,64,55,35,45,52
"Xavier Tillman Sr.","6'7"" (201cm)","C",0,0,0,0,2,0,0,0,0,0,1,1,2,"Boston Celtics",72,86,68,62,45,60,45,73,75,65,70,70,70,46,95,74,66,49,57,75,74,65,46,67,72,69,82,85,80,62,61,37,68,29,51,72
"Tyson Etienne","6'2"" (188cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,74,76,78,79,75,65,74,25,60,27,34,32,50,69,30,64,44,30,62,60,45,83,79,44,72,85,75,80,75,81,83,70,52,33,49
"Nolan Traore","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,76,69,73,71,50,50,76,30,70,42,44,69,55,81,44,60,54,40,57,60,40,85,85,56,74,92,75,80,78,86,85,78,74,37,44
"E.J. Liddell","6'6"" (198cm)","PF",0,0,0,0,2,0,0,0,0,1,0,1,2,"Brooklyn Nets",70,80,79,76,76,40,45,75,55,60,66,71,68,37,85,65,54,44,79,62,54,50,73,73,65,89,80,65,80,59,60,59,58,49,59,66
"Amari Williams","6'10"" (208cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",69,67,60,55,62,50,40,67,75,80,62,50,60,54,70,70,60,47,68,72,50,55,66,68,69,75,85,85,80,66,64,62,69,56,60,60
"Ron Harper Jr.","6'4"" (193cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,70,72,76,79,60,50,72,40,70,44,45,30,47,85,42,60,43,47,60,52,55,69,69,47,70,80,75,80,58,72,63,55,33,34,46
"Max Shulga","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,74,77,80,78,50,50,74,30,45,30,44,48,55,80,42,60,75,28,57,54,50,75,72,52,67,80,60,80,75,75,74,75,54,41,47
"Donovan Mitchell","6'3"" (191cm)","SG",0,0,9,5,5,5,7,1,0,0,0,1,19,"Cleveland Cavaliers",94,98,96,85,84,85,95,95,50,92,37,49,44,90,98,68,75,59,47,79,79,75,95,90,60,97,96,95,80,84,90,86,84,74,38,55
"Evan Mobley","6'11"" (211cm)","PF",0,2,4,9,8,1,3,1,0,6,2,1,23,"Cleveland Cavaliers",88,73,57,79,64,70,65,78,85,85,83,83,83,67,85,96,82,41,82,95,85,95,72,79,74,81,90,90,80,69,60,66,74,66,63,80
"LaMelo Ball","6'7"" (201cm)","PG",0,0,3,6,6,4,8,0,0,0,0,0,15,"Charlotte Hornets",86,83,91,80,88,75,80,84,45,75,52,58,52,70,98,45,70,53,30,79,89,75,84,84,50,79,93,89,82,93,88,84,93,90,47,73
"Kon Knueppel","6'7"" (201cm)","SF",0,0,4,3,4,4,2,1,0,2,0,0,11,"Charlotte Hornets",84,97,92,87,92,75,80,84,40,55,40,40,40,44,90,48,70,37,40,67,67,65,65,70,62,78,89,70,80,75,76,64,75,62,41,62
"Josh Giddey","6'8"" (203cm)","PG",0,0,8,2,3,0,8,0,0,0,2,0,13,"Chicago Bulls",84,86,47,83,75,90,90,94,45,65,55,58,55,89,90,50,62,41,51,57,54,45,79,79,60,74,88,90,80,90,86,79,92,86,46,85
"Jarrett Allen","6'9"" (206cm)","C",0,0,1,7,5,0,0,1,0,3,2,1,13,"Cleveland Cavaliers",84,91,82,63,76,90,70,80,90,85,83,63,84,60,95,88,72,53,70,88,67,85,75,72,84,79,90,90,82,25,35,35,48,41,68,81
"Coby White","6'5"" (196cm)","SG",0,0,1,11,3,4,8,1,0,0,0,0,15,"Chicago Bulls",83,82,79,75,81,80,80,90,30,65,34,45,49,84,95,49,64,38,25,66,64,55,85,85,56,81,90,85,80,79,87,84,84,73,29,51
"Miles Bridges","6'7"" (201cm)","PF",0,0,4,5,1,0,1,1,0,0,0,1,10,"Charlotte Hornets",82,88,75,74,84,95,95,86,60,88,84,84,84,89,75,60,59,36,51,62,68,45,75,76,84,85,93,80,85,69,76,71,74,66,41,68
"Nikola Vucevic","6'10"" (208cm)","C",0,0,0,8,2,1,1,1,0,0,2,0,10,"Chicago Bulls",82,96,87,81,77,80,85,70,75,65,88,84,87,50,80,68,41,38,47,67,57,45,62,49,87,45,88,70,77,77,35,32,76,65,65,84
"Brandon Miller","6'7"" (201cm)","SG",0,0,1,5,6,3,5,1,0,0,0,1,12,"Charlotte Hornets",81,54,79,79,85,90,80,80,55,87,40,64,47,53,80,50,73,42,73,67,68,65,78,82,51,85,95,80,80,75,86,78,75,69,47,52
"Darius Garland","6'1"" (185cm)","PG",0,0,9,4,2,5,7,0,0,0,0,0,15,"Cleveland Cavaliers",81,82,84,80,87,70,70,84,25,40,32,37,42,50,85,31,71,41,40,69,66,50,88,88,40,84,95,90,80,85,89,88,85,75,36,46
"Collin Sexton","6'3"" (191cm)","PG",0,0,0,5,8,4,5,0,0,0,0,1,13,"Charlotte Hornets",80,83,86,86,88,80,80,80,30,75,25,38,28,50,75,45,67,42,25,60,60,50,88,88,48,84,95,80,81,75,86,87,74,74,30,47
"Matas Buzelis","6'10"" (208cm)","PF",0,0,0,5,3,1,1,0,0,1,0,1,8,"Chicago Bulls",80,90,75,77,82,75,85,85,65,89,62,58,60,59,90,58,62,43,80,65,62,50,86,70,60,84,90,85,80,65,72,76,69,35,47,66
"De’Andre Hunter","6'8"" (203cm)","SF",0,0,0,3,6,2,1,0,0,4,0,1,9,"Cleveland Cavaliers",80,97,94,72,84,70,80,79,65,70,51,52,51,60,85,63,82,40,35,80,60,80,76,83,65,75,88,80,80,67,70,69,64,43,38,60
"Jaylon Tyson","6'6"" (198cm)","SF",0,0,0,2,5,1,1,1,0,1,1,1,7,"Cleveland Cavaliers",80,97,78,87,78,70,75,79,40,75,40,57,52,69,90,50,70,49,61,70,67,60,80,76,63,75,85,93,80,62,75,77,69,39,62,62
"Ryan Kalkbrenner","7'1"" (216cm)","C",0,0,0,4,3,0,0,0,0,2,2,0,7,"Charlotte Hornets",79,96,74,73,74,85,70,60,80,75,71,60,70,67,85,78,30,41,89,78,54,75,44,35,67,74,85,85,80,50,37,30,50,27,79,68
"Tre Jones","6'1"" (185cm)","PG",0,0,2,2,2,1,4,0,0,0,0,0,6,"Chicago Bulls",79,86,76,74,86,75,75,86,25,35,32,34,30,62,80,34,73,92,37,70,67,60,80,80,60,71,85,75,81,83,84,80,83,80,36,48
"Ayo Dosunmu","6'5"" (196cm)","SG",0,0,0,1,4,2,2,0,0,0,0,0,5,"Chicago Bulls",78,91,91,86,86,75,75,87,25,75,35,50,42,59,80,38,69,36,45,68,69,65,76,78,52,75,85,75,80,72,79,73,79,64,33,46
"Moussa Diabate","6'9"" (206cm)","C",0,0,3,4,0,0,0,1,0,1,2,1,7,"Charlotte Hornets",77,94,72,67,71,60,50,68,65,80,67,57,67,57,65,65,41,42,80,65,50,55,73,73,60,78,80,95,80,42,40,66,52,33,96,77
"Jalen Smith","6'9"" (206cm)","C",0,0,0,2,3,0,0,0,0,0,2,1,5,"Chicago Bulls",77,84,72,80,76,65,65,69,85,80,72,71,71,47,80,70,48,31,56,73,44,45,69,68,65,86,82,70,80,29,38,49,40,48,91,87
"Kevin Huerter","6'7"" (201cm)","SF",0,0,0,5,2,4,0,1,0,0,0,0,7,"Chicago Bulls",77,94,79,80,85,55,65,85,30,65,25,58,35,50,90,44,64,53,71,58,57,50,84,73,50,75,85,80,83,74,79,72,76,62,41,59
"Max Strus","6'5"" (196cm)","SF",0,0,1,4,0,4,0,1,0,0,0,0,5,"Cleveland Cavaliers",77,86,85,83,88,70,50,74,35,65,48,47,47,42,85,45,66,37,42,60,57,50,76,76,40,74,95,70,85,72,69,74,70,61,49,59
"Mason Plumlee","6'10"" (208cm)","C",0,0,0,0,6,0,1,1,0,0,2,1,6,"Charlotte Hornets",76,85,60,58,65,70,55,81,85,80,75,70,70,40,81,74,46,40,75,72,68,60,57,48,80,75,78,92,83,75,37,50,72,66,71,89
"Sion James","6'6"" (198cm)","SG",0,0,0,4,4,1,3,1,0,2,0,0,8,"Charlotte Hornets",76,85,70,82,85,75,65,79,55,70,58,58,59,47,75,69,72,41,55,70,68,65,93,85,82,81,80,80,80,69,69,78,69,34,34,55
"Zach Collins","6'11"" (211cm)","C",0,0,0,2,4,0,0,1,0,0,0,0,6,"Chicago Bulls",76,93,79,73,88,70,50,70,70,65,84,78,83,50,75,68,45,43,67,67,65,40,66,65,60,79,75,75,80,30,40,38,30,61,73,73
"Isaac Okoro","6'5"" (196cm)","SF",0,0,0,2,3,0,0,0,0,4,0,1,5,"Chicago Bulls",76,78,60,76,76,70,45,80,45,75,47,49,47,54,80,68,84,36,63,80,82,80,77,85,67,80,89,90,82,65,71,73,67,38,52,42
"Sam Merrill","6'4"" (193cm)","SG",0,0,1,1,2,4,0,0,0,0,0,0,4,"Cleveland Cavaliers",76,78,81,89,94,80,75,64,30,45,30,44,48,55,80,42,68,37,47,62,62,55,62,68,52,60,80,60,79,74,76,60,79,51,40,39
"Tidjane Salaun","6'8"" (203cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Charlotte Hornets",75,45,65,86,72,80,60,75,65,80,52,51,51,47,80,69,74,53,52,65,59,50,71,82,60,80,88,90,80,47,66,66,45,37,48,81
"Patrick Williams","6'7"" (201cm)","PF",0,0,1,1,2,3,0,1,0,0,0,0,4,"Chicago Bulls",75,55,73,86,64,60,60,68,60,65,44,42,40,45,80,70,76,59,51,80,65,65,70,74,64,77,88,75,81,60,70,64,62,35,46,56
"Nae’Qwan Tomlin","6'9"" (206cm)","PF",0,0,0,0,4,0,0,0,0,1,0,1,4,"Cleveland Cavaliers",75,82,72,69,73,60,65,79,60,80,57,62,57,55,80,64,70,73,80,67,62,60,75,70,62,80,80,80,80,67,72,65,70,30,83,53
"Dean Wade","6'9"" (206cm)","PF",0,0,0,0,3,1,0,1,0,1,0,0,3,"Cleveland Cavaliers",75,78,70,74,70,85,65,78,80,75,60,60,64,44,70,50,77,53,61,74,68,65,62,75,60,83,80,85,79,38,60,43,55,37,46,63
"Lonzo Ball","6'6"" (198cm)","PG",0,0,2,3,7,0,6,0,0,6,0,0,12,"Cleveland Cavaliers",75,55,63,70,82,40,30,70,30,75,35,44,40,50,84,60,81,90,51,80,80,75,85,86,52,80,93,70,80,83,86,85,83,72,46,66
"Tre Mann","6'3"" (191cm)","SG",0,0,0,2,3,4,0,0,0,0,0,0,5,"Charlotte Hornets",74,66,85,80,84,70,75,87,25,60,35,55,60,45,85,49,62,41,40,60,59,40,74,74,53,68,88,75,80,77,83,73,75,70,45,56
"Jevon Carter","6'1"" (185cm)","PG",0,0,0,0,2,0,1,0,0,1,0,0,2,"Chicago Bulls",74,92,89,82,82,80,65,75,25,35,32,34,30,40,80,34,79,53,56,72,75,70,76,83,60,71,85,76,81,75,79,76,70,67,38,38
"Craig Porter Jr.","6'1"" (185cm)","PG",0,0,0,0,2,0,0,0,0,2,0,0,2,"Cleveland Cavaliers",74,95,86,86,69,75,50,79,30,50,44,48,49,60,85,44,68,83,71,60,63,60,79,79,48,72,88,90,80,75,73,79,75,70,67,53
"Pat Connaughton","6'5"" (196cm)","SF",0,0,0,0,2,1,0,0,0,0,0,1,2,"Charlotte Hornets",73,80,69,77,72,70,35,78,30,86,35,34,30,66,90,35,73,32,57,70,71,65,77,78,45,95,80,80,83,69,78,65,78,49,45,63
"Josh Green","6'5"" (196cm)","SF",0,0,0,0,4,1,0,1,0,2,0,0,4,"Charlotte Hornets",73,81,69,83,67,50,30,75,30,80,35,34,30,44,95,35,79,56,45,79,78,75,86,86,60,80,89,90,83,67,70,72,65,35,40,41
"Grant Williams","6'6"" (198cm)","PF",0,0,0,3,3,1,1,0,0,1,1,1,6,"Charlotte Hornets",73,81,73,80,84,70,45,77,50,60,59,58,66,37,80,68,68,56,67,69,60,60,58,70,73,66,88,80,80,69,66,54,72,43,45,64
"KJ Simpson","6'0"" (183cm)","PG",0,0,0,0,4,0,3,0,0,0,0,0,4,"Charlotte Hornets",73,76,53,74,81,75,65,78,25,50,28,40,37,50,80,42,64,86,25,59,59,40,76,83,52,82,85,80,80,78,87,76,78,71,38,57
"Thomas Bryant","6'10"" (208cm)","C",0,0,1,1,6,0,0,1,0,0,2,0,8,"Cleveland Cavaliers",73,95,85,72,83,55,45,70,75,65,73,73,73,37,78,63,40,42,76,79,50,45,62,57,80,52,88,95,82,40,53,53,42,34,63,85
"Larry Nance Jr.","6'8"" (203cm)","C",0,0,0,4,0,0,0,0,0,0,0,1,4,"Cleveland Cavaliers",73,93,74,71,70,65,40,72,75,80,58,54,59,50,78,74,61,76,74,78,76,60,65,61,69,86,80,85,83,69,64,49,70,44,52,70
"Liam McNeeley","6'7"" (201cm)","SF",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",72,62,70,83,83,60,60,67,40,60,38,39,39,58,85,51,62,47,37,58,57,40,81,73,54,72,84,80,80,68,69,70,68,51,42,66
"Dalen Terry","6'7"" (201cm)","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago Bulls",72,77,72,70,69,65,55,77,25,80,40,46,42,54,85,43,69,63,53,69,70,65,76,76,58,69,85,85,80,76,80,74,78,49,56,52
"Julian Phillips","6'8"" (203cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago Bulls",72,81,68,75,77,70,50,70,45,80,54,57,55,55,80,55,68,46,55,67,68,65,73,78,40,80,85,85,80,60,66,67,57,29,63,41
"Noa Essengue","6'9"" (206cm)","PF",0,0,0,0,1,0,0,0,0,0,0,0,1,"Chicago Bulls",72,71,70,70,70,60,50,72,50,80,60,60,60,76,90,60,68,60,45,60,68,45,85,82,55,82,80,80,80,60,69,72,60,39,55,54
"Tyrese Proctor","6'5"" (196cm)","SG",0,0,0,0,2,2,0,0,0,0,0,0,2,"Cleveland Cavaliers",72,78,85,78,86,50,70,77,35,65,49,49,52,37,90,42,60,48,27,54,57,45,82,81,51,77,85,85,80,79,80,82,77,54,32,45
"Drew  Peterson","6'9"" (206cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Charlotte Hornets",70,70,74,79,75,75,50,73,60,65,45,47,46,45,70,52,43,40,42,45,50,40,59,58,62,68,85,85,80,69,68,58,68,38,52,66
"Antonio Reeves","6'5"" (196cm)","SG",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",70,89,75,86,84,60,60,80,30,70,39,36,39,40,80,32,60,42,40,52,48,40,83,78,39,75,85,70,80,62,70,73,62,36,40,41
"Trentyn Flowers","6'9"" (206cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago Bulls",69,62,71,75,64,50,35,62,70,85,47,52,49,42,80,52,62,57,37,54,52,45,83,75,42,92,85,70,80,57,69,75,60,44,48,54
"Chris Livingston","6'6"" (198cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Cleveland Cavaliers",69,76,68,70,72,60,35,76,50,80,39,44,40,37,79,52,64,47,48,52,62,40,80,80,54,83,85,65,80,65,69,68,52,34,52,51
